gene	log2FC	score	pvalue	pvalue_adj
ARPC2	2.4115644	28.223192	3.0370643558769283e-175	2.2744150086874186e-173
CSF3R	2.5610826	28.178701	1.066733543741001e-174	7.92700939560954e-173
MSR1	2.7357757	28.084764	1.5037233438605295e-173	1.108880885228988e-171
CORO1A	2.533465	28.004967	1.413596706138339e-172	1.0371279183842884e-170
IL10RA	2.5236354	27.903446	2.4231682438042388e-171	1.76439608120023e-169
RPS16	1.5558026	27.887175	3.817418546441038e-171	2.7726160281902287e-169
GNG5	2.3779733	27.883043	4.2841510868128405e-171	3.103808407681674e-169
CHCHD10	2.4168375	27.836449	1.5716489348785702e-170	1.1329589965220655e-168
C3	2.781788	27.813704	2.96181634760455e-170	2.1297817204031026e-168
RHBDF2	2.570387	27.792229	5.385146870728949e-170	3.8627404613439636e-168
FCGR1A	2.4535756	27.61699	6.956796940427267e-168	4.928924734238505e-166
SLC25A6	2.2725134	27.600363	1.1015775037570092e-167	7.785648142079185e-166
TRIB1	2.466639	27.598293	1.1664672829527555e-167	8.20415322343438e-166
RPS15	1.1027048	27.528894	7.919736873873744e-167	5.529851058286675e-165
NFKBID	2.607306	27.412622	1.9396538624682489e-165	1.3445941055724142e-163
H3F3B	0.89731985	27.401583	2.625980918291048e-165	1.816010296771276e-163
FOS	1.0346884	27.329113	1.9129808102040046e-164	1.31663181620398e-162
RPL15	1.2055107	27.323029	2.259501707906985e-164	1.5514350563056347e-162
NPM1	2.1610787	27.157917	2.0416676737851447e-162	1.3952361098370492e-160
NINJ1	2.3775566	27.155708	2.1680434805996786e-162	1.478104549379597e-160
CTSS	2.4259942	27.024382	7.642253695194277e-161	5.185789379506596e-159
MFSD1	2.3227825	27.000313	1.4654700530540693e-160	9.92092337790023e-159
SERP1	2.3025017	26.999874	1.4829332416090848e-160	1.0015689536260237e-158
SLC2A5	2.4950893	26.979914	2.543393809060136e-160	1.709811275313985e-158
CXCL8	2.5956843	26.97651	2.7883964313024407e-160	1.8658373990661955e-158
LAPTM4A	2.31658	26.854107	7.552621136391977e-159	5.042115916620852e-157
VSIR	2.394775	26.804426	2.8692670630488047e-158	1.9023372245768762e-156
PLAUR	2.6280692	26.762781	8.767277398344574e-158	5.799443655696718e-156
CXCR4	2.4689555	26.756699	1.0319085890382919e-157	6.810361092084452e-156
RPL17	1.6068803	26.666157	1.1626629254574627e-156	7.586703653769498e-155
FTH1	0.6636755	26.629887	3.060655667739639e-156	1.992666067282652e-154
RPLP0	1.7179805	26.606552	5.700812902992196e-156	3.703222440152706e-154
RPL24	1.6783357	26.54667	2.805859137442274e-155	1.818586773229682e-153
ITM2B	1.1006494	26.439014	4.880898748809794e-154	3.1493781279429624e-152
ETS2	2.462429	26.401297	1.3239751725179227e-153	8.504922291550131e-152
FPR1	2.4078298	26.363249	3.6179230381324005e-153	2.3189202053945298e-151
CD53	2.469526	26.249317	7.276990061424649e-152	4.618410560456792e-150
COTL1	2.3884032	26.249273	7.285416043063262e-152	4.618410560456792e-150
OAZ1	1.9769119	26.223362	1.4392254094482609e-151	9.083774871380105e-150
SDCBP	2.2396472	26.01032	3.7849230675573195e-149	2.3630836093710463e-147
RNASE6	2.4232945	25.903957	6.009880603532612e-148	3.7280604851141033e-146
TSPO	2.2203455	25.90195	6.331050442767974e-148	3.918879553513787e-146
HSPH1	2.2171235	25.821676	5.063460975937412e-147	3.1076319836820125e-145
RPS3	1.2917302	25.720701	6.859385921058192e-146	4.183212422363484e-144
HIGD2A	2.2375717	25.679022	2.0052810352902034e-145	1.2126916085174458e-143
SH3BGRL	2.1734717	25.548492	5.706538297698066e-144	3.4223838707792115e-142
UBA52	1.7095537	25.547272	5.887637061508063e-144	3.5236837378263685e-142
HSPA5	2.1420863	25.535675	7.920809855957703e-144	4.730720051780358e-142
CPVL	2.3013706	25.514254	1.3696252729286074e-143	8.163249023617991e-142
CTSB	2.7863865	25.493221	2.343748231988628e-143	1.3940479453106022e-141
VAMP8	2.383901	25.473495	3.877695529842938e-143	2.3016949626523577e-141
AKR1B1	2.1833782	25.442451	8.557203820628997e-143	5.0585499149881886e-141
MS4A6A	2.7736256	25.42397	1.3702134796136931e-142	8.083420623508781e-141
PFKFB3	2.197258	25.382881	3.897535089951137e-142	2.2899603017320632e-140
CITED2	2.2933023	25.32615	1.64599479260614e-141	9.612277064619332e-140
SLC1A3	1.9257189	25.315985	2.1301356761404856e-141	1.24144822560873e-139
PLD4	2.2560625	25.238607	1.5106305393213079e-140	8.733559400032209e-139
XBP1	2.191572	25.165108	9.657660843401493e-140	5.572335369265609e-138
ABI3	2.3214476	25.107225	4.147195143364994e-139	2.378630357326426e-137
BAX	2.2266924	25.097235	5.3314555441252656e-139	3.0518096121589913e-137
ATP6V1F	2.0857077	25.059656	1.370174667743135e-138	7.827596664120712e-137
CD99	2.414463	25.037441	2.3923045079163846e-138	1.3639910534583615e-136
GNA13	2.116402	24.965712	1.44180416846797e-137	8.188257976012497e-136
ALOX5AP	2.4188588	24.887758	1.0095694360666762e-136	5.711080956630022e-135
PFN1	1.8267813	24.86103	1.964952210638993e-136	1.1093920615808862e-134
NEAT1	0.802423	24.793125	1.0634331902863597e-135	5.9806737804684435e-134
RPL5	1.5782276	24.724356	5.852698987858066e-135	3.278759101589401e-133
MEF2C	2.4946508	24.677917	1.8464768230091183e-134	1.0304267475429456e-132
GPSM3	2.2232616	24.649681	3.7092761507094137e-134	2.0580431034271982e-132
ATP2B1-AS1	2.250398	24.630865	5.901579034778711e-134	3.261891876832662e-132
IFITM3	2.3988914	24.623404	7.094088032134196e-134	3.9135267699409006e-132
TGFB1	2.347153	24.560678	3.3259065417178172e-133	1.824326003822333e-131
ITGAX	2.2200925	24.484737	2.147998794070515e-132	1.1759886579582646e-130
KLF4	2.1028798	24.48081	2.3651760309850236e-132	1.292441276515767e-130
TBXAS1	2.309614	24.466856	3.3299390672720907e-132	1.816199030521402e-130
YWHAH	2.0695288	24.417257	1.1215218941266466e-131	6.105430017611859e-130
PLK3	2.143572	24.398573	1.7708663745552697e-131	9.622262084449093e-130
BCAP31	2.0844736	24.182936	3.36408329527012e-129	1.7941984467965565e-127
EEF1D	1.9601712	24.18009	3.6041746217818155e-129	1.918708578118728e-127
RPS21	1.8344313	24.134758	1.0794870142807388e-128	5.725638737947397e-127
ADAP2	2.163791	24.106543	2.1344470431616038e-128	1.1300450673383237e-126
RPL35	1.5361165	24.046396	9.104772188473347e-128	4.794019119347888e-126
NFKB1	2.3575306	23.992706	3.3137095523070902e-127	1.741625491428019e-125
CYBB	2.197223	23.953506	8.494645335769896e-127	4.4565283615444716e-125
GPNMB	3.7393153	23.949474	9.35739170523131e-127	4.9002558337522e-125
MAP3K8	2.327591	23.93548	1.308927261312468e-126	6.842162810625591e-125
LINC01736	2.187343	23.831648	1.5696423896335488e-125	8.175432893177836e-124
GRASP	2.2099187	23.829271	1.6612824433665614e-125	8.637174746474314e-124
HIF1A	2.0193796	23.794504	3.807228732721088e-125	1.9758628541610144e-123
BST2	2.2363935	23.776325	5.871332066612367e-125	3.0361823980243954e-123
DHRS7	2.0607872	23.76117	8.422762833509015e-125	4.34780009336152e-123
SLC11A1	2.1433768	23.709814	2.856117303938974e-124	1.4716895348478417e-122
SNHG29	2.0049357	23.692156	4.343748554629363e-124	2.2263251678842372e-122
MS4A4A	2.9097385	23.678663	5.982711020253174e-124	3.060924379866522e-122
CTSD	1.8243028	23.60449	3.4659275186647964e-123	1.7670117598243963e-121
