gene	log2FC	score	pvalue	pvalue_adj
LSM7	3.2605681	40.436077	0.0	0.0
CXCL16	3.3724334	40.42464	0.0	0.0
H2AFZ	3.209231	40.33294	0.0	0.0
TPM4	3.1593385	40.30585	0.0	0.0
TRAPPC1	3.1592395	40.299084	0.0	0.0
BANF1	3.1653283	40.26857	0.0	0.0
UQCR11	3.2723863	40.24333	0.0	0.0
GPI	3.1861567	40.167923	0.0	0.0
DRAP1	3.205732	40.101734	0.0	0.0
SCIN	3.6920505	40.07761	0.0	0.0
RGS2	3.2176986	39.95293	0.0	0.0
ARF1	3.3280756	39.87518	0.0	0.0
PABPC1	3.4939172	39.821934	0.0	0.0
CTSS	3.3068314	39.809044	0.0	0.0
AKR1A1	3.158644	39.731438	0.0	0.0
MT-CYB	2.2077987	39.713417	0.0	0.0
CREM	3.47492	39.687878	0.0	0.0
SLC25A3	3.3753629	39.56641	0.0	0.0
AKR1B1	3.1723034	39.564907	0.0	0.0
CORO1B	3.2108529	39.489746	0.0	0.0
NME1	3.9050398	39.485867	0.0	0.0
WDR83OS	3.2104688	39.448402	0.0	0.0
TUBA1C	3.9288275	39.446293	0.0	0.0
GUK1	3.2056394	39.441383	0.0	0.0
RPS11	3.2946491	39.43002	0.0	0.0
CD37	3.31346	39.33656	0.0	0.0
FCGBP	4.7030816	39.30121	0.0	0.0
DDOST	3.1293244	39.237823	0.0	0.0
