gene	importance
FGD3	0.000588941767666374
IQSEC1	0.0005870443231782677
ZFAND2B	0.0005869113273460303
GYG1	0.0005861808766330591
PPP4R1	0.0005858394076619805
SMIM3	0.0005851488437140851
AC008937.1	0.0005844204982568368
NQO2	0.0005838682443502722
TNFSF13B	0.0005829374851731321
TBC1D10B	0.0005827067153601769
BX004987.1	0.0005810134151613866
PGGHG	0.000580740854192689
AKAP12	0.0005796057845080591
UPP1	0.0005788409222479981
FAM200B	0.0005777037106211702
HEBP2	0.000577440292402155
AL132656.2	0.0005774266776026533
AC012358.1	0.0005773313447368196
KLRF1	0.0005770643267210746
PLP2	0.0005755570779143989
PPP2R2D	0.0005754448854420119
AC010331.1	0.0005749930216432886
SLC25A44	0.0005747628034576302
GBA	0.0005739890351226166
FN1	0.0005723520766726871
IGFLR1	0.0005719589597072583
SAMD9L	0.0005716692753243481
GPR155	0.0005713394972900799
STAT5A	0.0005711949863715138
RXRA	0.0005706630241611431
SAMD9	0.0005699721260397369
RASGRP2	0.0005692043148695427
IKBIP	0.0005688526429827146
UBXN2B	0.0005688480637037847
FOXC2	0.0005656634949373484
TST	0.0005655341339841184
ACBD6	0.000563736392689187
RCOR1	0.0005634623278437206
SEC24B	0.0005614792621942499
NUDT22	0.0005605306803546313
LUCAT1	0.0005593304939323447
CST7	0.000559087311226165
ZC3H4	0.0005588676242952233
THOC7	0.0005573670250585369
SCG5	0.0005563513541269781
FAM49A	0.0005559620564255738
GTDC1	0.0005559594660322144
UBE2J2	0.0005553420816788508
PLXNC1	0.0005548893178760882
METTL21A	0.0005547785719315127
ZFAND2A	0.0005539778396795623
PIK3CD	0.0005538740480219139
CSNK1G3	0.0005534915111794371
SLC35A5	0.0005529458928554246
SELL	0.0005527711990508247
SLC15A3	0.0005525275862571638
NOTCH2	0.0005525006516821262
CYSTM1	0.0005523431330149849
BTK	0.0005513667138321487
NFKB2	0.0005503664456600915
TMCC1	0.0005500544329212791
RAB8B	0.0005479234184418519
CNIH4	0.0005478366120196539
MTMR3	0.000545449627268208
CAMK1D	0.0005442954814864757
ECHDC3	0.0005433998493832588
POLE4	0.0005418377263348782
EXOSC4	0.0005414999428833074
STAT5B	0.0005396711100895449
G6PD	0.0005394071459986459
CEP295NL	0.0005386646841351907
TMEM120A	0.000538285382556278
CARHSP1	0.0005351631539726511
GNG2	0.0005337856571094837
SLBP	0.0005334668541776422
TSEN34	0.0005334470490111704
IL1R2	0.0005332414296154715
SLC6A6	0.0005327623782438049
CBLL1	0.0005320061676605307
GTPBP1	0.0005318238127816323
GRIPAP1	0.0005317775035383059
FNDC3B	0.0005316469309804312
ARFRP1	0.0005315163405121857
LILRA1	0.00053113741000083
DDX60L	0.0005301345706646695
CRNKL1	0.0005299597039881304
MMP19	0.0005296798494620815
NADK	0.0005289095295376153
IRF7	0.0005286751246333979
ALPK1	0.00052738697508205
AC008875.3	0.0005258047334891203
ARID3A	0.000525623654558272
SDE2	0.0005246058205698273
CARS2	0.0005242028295694372
CCDC186	0.0005222086874024827
RELL1	0.000521693599060334
TXK	0.0005213954534414026
DENND10	0.0005213229988049477
CARD16	0.0005205087243044537
HBA2	0.0005203770118773355
AC013565.3	0.0005195957528656334
FGFBP2	0.0005191045558007767
DGKD	0.0005176013332837346
NFYB	0.0005172705532761639
CLIP1	0.0005170014135559838
MBOAT7	0.0005169365798305156
PHF21A	0.000516208402702951
MAP3K1	0.000516084252531413
PGGT1B	0.0005158882086548
DYNLT3	0.0005158242983336246
MTHFS	0.0005156075779631475
MLLT1	0.0005147806915998402
MYL4	0.0005143956398945675
SP2	0.0005140434306211754
BTN2A1	0.0005137356107711491
PDIA2	0.0005136708991651106
TMEM260	0.0005129177812524415
CPPED1	0.0005121437535340175
CASP8	0.0005110038921132384
LIX1L	0.0005105649820554942
MEPCE	0.0005104539650874576
MAEA	0.0005082411246190262
AMPD2	0.0005077851813025119
LINC02362	0.0005076655724218333
C19orf38	0.0005070066097135727
RAB33B	0.0005064516092633053
DGCR2	0.0005040422398960764
ASAP1	0.0005038645433063397
POR	0.0005036809001898614
TSSC4	0.0005034090187777862
CASP4	0.0005026694643133241
RASA2	0.0005014332340821295
COP1	0.0004993899084095859
CD48	0.0004976559504612133
INAFM2	0.0004976019103466002
WWC3	0.000497257444022081
KDM3A	0.0004959607333910416
CMTM2	0.0004957161930888243
KIF21B	0.0004947401485892811
PAM16	0.0004932006552373206
JOSD1	0.0004925693960841761
MSRB1	0.0004915241689499193
ETNPPL	0.0004912250212349682
KIN	0.0004907811774216926
AMN1	0.0004904561822215811
TERF2	0.000490310009283627
ZNF445	0.0004896599786635015
CDKN2D	0.0004891814498139668
GPR27	0.0004888539937324737
ZBTB7B	0.00048730036327410256
LRRC25	0.00048568822097077837
CDC42EP3	0.0004847420838295394
HDAC7	0.0004840091190569988
AP3S2	0.0004838348052520706
PHRF1	0.00048379042269607975
ERMAP	0.00048296570692919836
MTX1	0.00048274542393610397
TAP1	0.00048270904816881773
STIMATE	0.0004819465296278083
DCAF11	0.000481678212900699
PISD	0.00048111198723900956
CCDC88B	0.00048073945144156674
PBXIP1	0.0004797456764985866
FOLR3	0.00047933298929932157
ARHGEF18	0.0004793144042230442
IL12RB2	0.000478798103933308
MAPK14	0.0004771591153345996
TUBA4A	0.00047622594411917215
PARP10	0.00047602729838696836
AC090559.1	0.00047592160736197275
TENT5C	0.000475822902755582
PAFAH1B3	0.0004755431302703581
FBXL15	0.00047487604308873104
TRAV16	0.0004741732287489647
ANAPC15	0.0004741703076717957
CRLF3	0.000473852318854233
SLC66A2	0.0004725869653291641
ZNF524	0.00047250613181663094
MIR22HG	0.000472193207242736
OSBPL2	0.00047218647606668757
ASB8	0.00047160008550961065
CNN2	0.0004710777196041233
EMP1	0.0004706019263375068
AC010761.4	0.0004702236902857257
MSRA	0.00046928838864520353
PXN	0.00046922559566846473
