gene	log2FC	score	pvalue	pvalue_adj	comparison
ACTB	1.2801006	62.21951	0.0	0.0	Core_vs_Healthy
NACA	3.8216565	62.14843	0.0	0.0	Core_vs_Healthy
GRN	4.74029	62.100536	0.0	0.0	Core_vs_Healthy
RPL10A	4.2373824	62.069187	0.0	0.0	Core_vs_Healthy
BTG1	4.7476616	62.057198	0.0	0.0	Core_vs_Healthy
MT-CO1	2.3241663	61.60837	0.0	0.0	Core_vs_Healthy
ENO1	4.6829863	61.602306	0.0	0.0	Core_vs_Healthy
PPIA	3.3918536	60.954807	0.0	0.0	Core_vs_Healthy
TPI1	4.5703373	60.7133	0.0	0.0	Core_vs_Healthy
SLC25A6	4.6489525	60.522575	0.0	0.0	Core_vs_Healthy
RPS3	3.3631465	60.51456	0.0	0.0	Core_vs_Healthy
HMOX1	4.904117	60.28303	0.0	0.0	Core_vs_Healthy
RPL39	3.9974647	60.1388	0.0	0.0	Core_vs_Healthy
APOE	6.0161295	74.33444	0.0	0.0	Periphery_vs_Healthy
HLA-B	5.356078	65.327034	0.0	0.0	Periphery_vs_Healthy
CCL4	6.6433535	64.497734	0.0	0.0	Periphery_vs_Healthy
APOC1	5.483608	63.04503	0.0	0.0	Periphery_vs_Healthy
FTL	1.5620825	62.186474	0.0	0.0	Periphery_vs_Healthy
KLF2	5.0311165	58.03109	0.0	0.0	Periphery_vs_Healthy
B2M	2.9572103	55.870327	0.0	0.0	Periphery_vs_Healthy
HLA-A	4.367228	55.57432	0.0	0.0	Periphery_vs_Healthy
HSPA1B	5.0271416	55.299053	0.0	0.0	Periphery_vs_Healthy
TMSB4X	1.6208736	54.773754	0.0	0.0	Periphery_vs_Healthy
CST3	4.475816	54.73108	0.0	0.0	Periphery_vs_Healthy
ACTB	1.0117712	53.95096	0.0	0.0	Periphery_vs_Healthy
CCL3	5.36835	53.58149	0.0	0.0	Periphery_vs_Healthy
HLA-C	4.474867	53.456425	0.0	0.0	Periphery_vs_Healthy
C1QC	4.42503	53.407207	0.0	0.0	Periphery_vs_Healthy
UBC	2.380741	53.380795	0.0	0.0	Periphery_vs_Healthy
CD83	4.469042	52.8678	0.0	0.0	Periphery_vs_Healthy
C1QA	4.3258224	52.103127	0.0	0.0	Periphery_vs_Healthy
ZFP36L1	4.4283376	52.042797	0.0	0.0	Periphery_vs_Healthy
SAT1	4.307859	51.86032	0.0	0.0	Periphery_vs_Healthy
CCL4L2	5.2446694	50.98414	0.0	0.0	Periphery_vs_Healthy
NR4A1	4.444803	50.91139	0.0	0.0	Periphery_vs_Healthy
TNFAIP3	4.5395017	49.958874	0.0	0.0	Periphery_vs_Healthy
SRGN	4.449899	49.83027	0.0	0.0	Periphery_vs_Healthy
NFKBIA	3.2888756	49.6688	0.0	0.0	Periphery_vs_Healthy
FCER1G	4.205733	49.53961	0.0	0.0	Periphery_vs_Healthy
CYBA	4.1258197	49.49415	0.0	0.0	Periphery_vs_Healthy
JUN	2.8067632	49.20713	0.0	0.0	Periphery_vs_Healthy
ZFP36	3.327942	49.112335	0.0	0.0	Periphery_vs_Healthy
C1QB	4.092576	48.970707	0.0	0.0	Periphery_vs_Healthy
HSPA1A	4.419249	48.892555	0.0	0.0	Periphery_vs_Healthy
TYROBP	4.1169987	48.729446	0.0	0.0	Periphery_vs_Healthy
TREM2	4.011697	47.89987	0.0	0.0	Periphery_vs_Healthy
RPL12	2.7040362	47.76071	0.0	0.0	Periphery_vs_Healthy
CD74	4.8403835	47.42744	0.0	0.0	Periphery_vs_Healthy
CD14	4.1315885	47.196697	0.0	0.0	Periphery_vs_Healthy
RPS4X	2.8297448	46.98272	0.0	0.0	Periphery_vs_Healthy
S100A11	4.060422	46.113506	0.0	0.0	Periphery_vs_Healthy
HLA-DRA	4.0851817	45.20211	0.0	0.0	Periphery_vs_Healthy
PPP1R15A	3.5348277	45.111916	0.0	0.0	Periphery_vs_Healthy
HLA-DRB1	3.8618608	44.94322	0.0	0.0	Periphery_vs_Healthy
HSPB1	4.455769	44.93972	0.0	0.0	Periphery_vs_Healthy
CCL3L1	4.4379673	44.874847	0.0	0.0	Periphery_vs_Healthy
RPLP1	1.5149927	44.571644	0.0	0.0	Periphery_vs_Healthy
NPC2	3.3220513	44.517376	0.0	0.0	Periphery_vs_Healthy
RPL13	1.3923644	44.381077	0.0	0.0	Periphery_vs_Healthy
HLA-DPB1	3.6820662	44.376663	0.0	0.0	Periphery_vs_Healthy
RPS19	2.062783	44.321423	0.0	0.0	Periphery_vs_Healthy
