class	rank	gene	mean_attention
Healthy	23	SERPINA1	0.005858556367456913
Healthy	24	CHI3L1	0.005720770917832851
Healthy	25	TIMP1	0.005668361205607653
Healthy	26	MMP19	0.005566298495978117
Healthy	27	TRIM58	0.005455383099615574
Healthy	28	SHC4	0.005398614797741175
Healthy	29	ZFAND2A	0.005314998794347048
Healthy	30	EMP1	0.0052936263382434845
Healthy	31	TNFSF13B	0.0052493177354335785
Healthy	32	CCL2	0.0050940378569066525
Healthy	33	CST3	0.00504480954259634
Healthy	34	AC005392.2	0.005035439506173134
Healthy	35	PAFAH1B3	0.004964415915310383
Healthy	36	MT-CO2	0.004930404946208
Healthy	37	BPGM	0.004737407900393009
Healthy	38	PCBP1-AS1	0.004638166632503271
Healthy	39	ANXA1	0.0045688035897910595
Healthy	40	BCL2A1	0.004455521237105131
Healthy	41	KCNJ2	0.004273571074008942
Healthy	42	FOSL2	0.004210568033158779
Healthy	43	TAP1	0.004137990064918995
Healthy	44	NBPF26	0.004098881967365742
Healthy	45	PSME1	0.004017556551843882
Healthy	46	ICAM1	0.003996051382273436
Healthy	47	AC008875.3	0.003975206986069679
Healthy	48	ADNP	0.003918935544788837
Healthy	49	FGL1	0.0037895827554166317
Healthy	50	HIST3H2BB	0.0037513175047934055
Healthy	51	IFIT3	0.0037112748250365257
Healthy	52	SLC35F5	0.0036799046210944653
Healthy	53	HEMGN	0.0036407867446541786
Healthy	54	GCLM	0.0035534638445824385
Healthy	55	GBP1	0.003505488857626915
Healthy	56	UBXN2B	0.003490456845611334
Healthy	57	AC025423.4	0.0034553566947579384
Healthy	58	ZYX	0.003433258505538106
Healthy	59	NCF4	0.0033520981669425964
Healthy	60	NEFL	0.0033518688287585974
Healthy	61	ATG16L2	0.0033502699807286263
Healthy	62	DOCK11	0.0033467719331383705
Healthy	63	ANKRD22	0.003338616108521819
Healthy	64	PRKCB	0.0033255668822675943
Healthy	65	GEM	0.0033057178370654583
Healthy	66	SMAP2	0.003282940248027444
Healthy	67	HIST1H2BC	0.0032719771843403578
Healthy	68	MVP	0.003218233585357666
Healthy	69	PLPPR2	0.0032162941060960293
Healthy	70	MAPK14	0.0032001170329749584
Healthy	71	TMEM131L	0.0031629279255867004
Healthy	72	NTAN1	0.0031617966014891863
Healthy	73	CLEC4E	0.003156282939016819
Healthy	74	PSMB3	0.0031461077742278576
Healthy	75	PLAUR	0.003133434569463134
Healthy	76	IL2RG	0.0031313912477344275
Healthy	77	MMRN2	0.0031269669998437166
Healthy	78	LILRA1	0.0030913010705262423
Healthy	79	AC007032.1	0.003048746380954981
Healthy	80	HSPA6	0.0030440883710980415
Healthy	81	HPSE	0.003001683857291937
Healthy	82	SLC25A11	0.0030005546286702156
Healthy	83	PGD	0.002997935749590397
Healthy	84	VNN2	0.0029864676762372255
Healthy	85	GAPT	0.0029800196643918753
Healthy	86	TBC1D1	0.002955773612484336
Healthy	87	HIST1H2BK	0.0029490801971405745
Healthy	88	FKBP1A	0.002863542176783085
Healthy	89	STX11	0.0028518293984234333
Healthy	90	RXRA	0.00284365052357316
Healthy	91	FADS2	0.0028267086017876863
Healthy	92	ANXA3	0.00282627553679049
Healthy	93	KRT1	0.0028163641691207886
Healthy	94	METRNL	0.0027532305102795362
Healthy	95	ADGRE5	0.0027511469088494778
Healthy	96	SMIM3	0.0027268955018371344
Healthy	97	IFIT1	0.0027192935813218355
Healthy	98	MSL3	0.0027041402645409107
Healthy	99	CASC3	0.0026575394440442324
Healthy	100	MT2A	0.0026488201692700386
